MMS ID,Main title,Subject,Place of publication,Date 1,Language original,ie_folders
9920144920101488,Voyage en Italie,UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië;BPB PreciosA20B PreciosA20B BPB,Paris,1866,,IE38248213|IE38250414
9920144950101488,"Voyage en Egypte et en Syrie, pendant les années 1783, 1784 et 1785, suivi de Considérations sur la guerre des Russes et des Turks, publiés en 1788 et 1789.",KUL #SJ/LH/(09);UDC 910.4 <569.1> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Syrië;UDC 910.4 <620> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Egypte,Paris,1825,,IE53645570|IE53647387
9920862530101488,"Chroniques, lettres et journal de voyage, extraits des papiers d'un défunt.",KUL #SJ/LH/(09);UDC 910.4 <5> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Azië,Paris,1837,,IE53659597|IE53661094|IE53662587
9920935590101488,Itinéraire descriptif de l'Espagne,KUL #SJ/LH/(09);UDC 910.4 <460> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Spanje,Paris,1834,,IE53584968|IE53586982|IE53593469|IE53595390|IE53597537|IE53599754
9920981380101488,"Voyage en Italie et en Sicile, faite en MDCCCI et MDCCCII",KUL #SJ/LH/(09);UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië,Paris,1806,,IE53628913
9921093550101488,"Voyages de John Moore en France, en Suisse et en Allemagne",KUL #SJ/LH/(09);UDC 910.4 <430> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--?<430>;UDC 910.4 <44> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Frankrijk;UDC 910.4 <494> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Zwitserland,Genève,1819,eng,IE53679548|IE53680837
9921488520101488,"Voyages dans l'Asie méridionale,",KUL #SJ/LH/(09);UDC 910.4 <5> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Azië,Tours,1841,,IE53697072
9921869700101488,Voyage au mont Caucase et en Georgie,"STCV Aardrijkskunde, cartografie, demografie--Oude Drukken;UDC 910.4 <479.22> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Sovjetrepubliek Georgië",Paris;Paris,1823,,IE41902797|IE41904958
9922167850101488,"Voyage sur la côté orientale de la mer Rouge, dans le pays d'Abel et le Royaume de Choa",KUL #SJ/LH/(09);UDC 910.4 <63> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Ethiopië,Paris,1841,,IE53705576
9923397520101488,Voyages dans l'Asie méridionale,KUL #SJ/LH/(09);UDC 910.4 <5> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Azië,Tours,1840,,IE53653999
9923421530101488,Der Geist des Orients erläutert in einem Tagebuche über Reisen durch Rumili während einer ereignissreichen Zeit,KUL #SJ/LH/(09);UDC 910.4 <5> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Azië,Stuttgart,1839,eng,IE53664132|IE53665493
9924646690101488,Journal d'un voyage en France et lettres écrites d'Italie,KADOC C3 Kunst en cultuur;UDC 910.4 <44> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Frankrijk;UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië,Paris,1857,,IE43768714
